Dige,Digə
nsio,nsio
Stim,Stim
vi-m,vi-m
usas,uşas
ovah,ovah
Taxk,Taxk
axke,axke
xkem,xkem
kemo,kemo
Yose,Yoşe
sev-,şev-
ev-B,ev-B
v-Ba,v-Ba
-Bas,-Baş
Bass,Başs
Dube,Dübe
beyt,beyt
rzec,rzəc
Dura,Dura
hbes,hbəs
toar,toar
oarx,oarx
eng-,əng-
ng-q,ng-q
g-qe,g-qə
e'yl,ə'yl
'yle,'ylə
mume,mumə
bahl,bahl
Hibr,Hibr
D-di,D-di
-dis,-dis
BOMJ,BOMJ
OMJl,OMJl
MJla,MJla
Jlar,Jlar
Pohr,Pöhr
vilo,vilo
otra,otra
ajao,ajaö
jaot,jaöt
vozr,vozr
ozra,ozra
zras,zras
Deft,Dəft
__ma,__ma
_man,_man
irdv,irdv
alia,alia
hles,hləs
itla,ıtla
Tune,Tune
SIZI,SİZİ
6:50,6:50
Dono,Dono
Tohf,Töhf
oliu,oliu
liur,lıur
iuri,iuri
sikd,şikd
epec,əpəc
815-,815-
15-I,15-I
Kibe,Kibe
Lovg,Lovğ
ah-z,ah-z
culd,çuld
tork,törk
orks,örks
rksi,rksi
siky,siky
1.03,1.03
vzel,vzəl
eyxd,eyxd
yxde,yxdə
NECS,NECS
ECSO,ECSO
Radk,Radk
adki,adki
dkin,dkin
Omek,Omek
in-P,in-P
n-Pu,n-Pu
1826,1826
826-,826-
Aday,Aday
Ortu,Örtü
saxi,şaxı
Zeit,Zeit
eith,eith
tham,tham
31.3,31.3
zerS,zərS
erSi,ərSı
rSig,rSığ
SC-d,SC-d
C-da,C-da
Wi-F,Wi-F
i-Fi,i-Fi
BURA,BURA
URAD,URAD
RADA,RADA
vdis,vdis
100#,100#
00#Y,00#Y
govs,gövş
sett,sett
can',can’
an'i,an’ı
razd,razd
umol,umöl
molk,mölk
rsoq,rsoq
Amar,Amar
Yoya,Yoya
Qal-,Qal-
l-Xo,l-Xo
-Xoz,-Xoz
Xoze,Xoze
ttoy,ttoy
xilq,xilq
fabu,fabu
iqol,iqol
Vasa,Vaşa
sadz,şadz
cter,çtər
ixiq,ıxıq
xiql,xıql
96-1,96-1
1886,1886
vlov,vlov
lovi,lovi
xovu,xovu
hins,hins
4.15,4.15
Ezop,Ezop
Kley,Kley
ni-S,ni-S
sanf,sanf
nfi-,nfı-
fi-C,fı-C
i-Co,ı-Co
-Cor,-Cor
Hebe,Həbə
esi-,əsi-
-Meh,-Məh
mams,mams
nuyo,nuyo
Suma,Suma
qire,qirə
girn,ğırn
en-A,en-A
-Amm,-Amm
mrto,mrto
rtod,rtod
1541,1541
rofl,rofl
flak,flak
GIPA,GİPA
Saxs,Saxs
166.,166.
66.2,66.2
66.1,66.1
himd,himd
yemm,yəmm
49.2,49.2
cal-,çal-
-cag,-çağ
Peyk,Peyk
noqu,noqu
oqur,oqur
kuyv,kuyv
uyva,uyva
yvar,yvar
Sozg,Sözg
zgez,zgəz
free,free
reeg,reeg
eege,eege
egeo,egeo
geor,geor
atez,atez
atlo,atlo
tlog,tlog
elex,elex
lexs,ləxs
50.2,50.2
vyad,vyad
Qail,Qail
aila,aila
Xena,Xena
dike,dikə
kebe,kəbə
9.18,9.18
qolt,qolt
oltu,oltu
ltug,ltuğ
tugu,tuğu
Munb,Münb
pile,pilə
Mind,Mind
ygud,yğud
Foye,Foye
oyed,oyed
ilsc,ilşc
lsce,lscə
sces,şçeş
61-7,61-7
1-70,1-70
xize,xizə
zekd,zəkd
dagx,dağx
agxi,ağxi
gxiz,ğxiz
Leeg,Ləəğ
eegv,əəğv
eeyy,əəyy
leeb,ləəb
eebl,əəbl
blee,bləə
Maqq,Maqq
izib,ızıb
zeks,zəks
dort,dört
coup,coup
oupe,oupe
1.6.,1.6.
IHM-,İHM-
HM-i,HM-i
aneg,anəg
nega,nəga
derv,dərv
reqd,rəqd
"315,","315,"
"220,","220,"
"95,0","95,0"
ratk,ratk
atki,atki
5180,5180
8000,8000
min2,min2
in24,in24
oz-f,oz-f
-fin,-fin
DeHS,DƏHŞ
eHSe,ƏHŞƏ
HSeT,HŞƏT
SeTL,ŞƏTL
eTLI,ƏTLİ
esuq,əşuq
suqe,şuqə
uqey,uqəy
1:38,1:38
Advi,Advi
Four,Four
Squa,Squa
Lone,Lone
nely,nely
xacm,xaçm
tsil,tşil
ouxe,oüxe
qruz,qruz
ruzi,ruzi
uzin,uzin
ocui,oçüi
cuie,çüie
medv,medv
dvej,dvej
vejg,vejğ
ejge,ejğə
rloq,rloq
uhel,uhel
helg,helğ
elgm,elğm
lgme,lğme
No-A,No-A
o-Am,o-Am
Mire,Mirə
MVA2,МВА2
VA25,ВА25
IESE,İESE
Bocc,Bocc
occo,occo
ccon,ccon
coni,coni
Duke,Duke
Fuqu,Fuqu
uqua,uqua
duog,duoğ
uogu,uoğu
eird,eird
699-,699-
99-I,99-I
yi-C,yi-Ç
-Cah,-Çah
ste-,stə-
te-N,tə-N
e-Ni,ə-Ni
-Nig,-Nig
Qerr,Qərr
Huzz,Hüzz
uzza,uzza
zzal,zzal
aqqd,aqqd
qqda,qqda
950y,950y
50ye,50yə
3-4n,3-4n
-4ne,-4nə
zomo,zomo
orfi,orfi
rfiz,rfiz
klul,klül
cuzd,cuzd
RLS-,RLS-
LS-i,LS-i
Ereb,Ereb
aca-,aça-
ca-q,ça-q
puva,puva
Mexl,Məxl
yuyl,yuyl
abie,abiə
loss,loss
rzuy,rzuy
87-1,87-1
Frie,Frie
ends,ends
yi-K,yi-K
-Kub,-Kub
Kubr,Kubr
67.5,67.5
imqo,ımqo
Mumt,Mümt
umta,ümta
mtaz,mtaz
Nast,Nast
a-Tr,a-Tr
-Tru,-Tru
rdud,rdud
duda,duda
Laod,Laod
aodi,aodi
Hier,Hier
rapo,rapo
mosu,mosu
perc,perc
Peml,Peml
drov,drov
ode-,ode-
de-d,de-d
unic,unic
018F,018F
nde-,ndə-
de-3,də-3
e-39,ə-39
-399,-399
0259,0259
Vano,Vano
tram,tram
xdum,xdum
nbee,nbəə
beel,bəəl
paxl,paxl
ulet,ulet
letk,letk
bled,bləd
Mile,Mile
bame,bame
amem,aməm
emdu,əmdu
mdua,mdua
emda,əmda
Neca,Neca
Sasm,Şaşm
gziv,ğzıv
Isiy,İşiy
Sici,Sici
neie,nəıə
eiee,əıəə
ieee,ıəəə
FUCK,FUCK
Fenl,Fənl
kder,kdər
uant,uant
Troy,Troy
sesk,sesk
Gexs,Ģəxs
Oxcu,Oxçu
xcul,xçul
Rise,Rise
Cinq,Çınq
ozme,özmə
mrdi,mrdi
hay-,hay-
ay-k,ay-k
y-ku,y-kü
mmot,mmot
ot-D,ot-D
t-Do,t-Do
-Dor,-Dor
Dorl,Dorl
Akko,Akko
ta-d,ta-d
keke,kekə
Rina,Rina
Soul,Soul
uli-,uli-
i-gi,i-gi
-gil,-gil
Desk,Desk
ziqd,zıqd
t-Ab,t-Ab
-Abb,-Abb
diff,diff
iffu,iffu
fuzi,fuzi
uziy,uziy
artq,artq
rtqi,rtqi
kosl,kosl
1441,1441
441-,441-
Paol,Paol
aolo,aolo
Reno,Reno
Lomb,Lomb
Mans,Mans
soni,soni
nclu,nclu
II-c,II-c
I-ci,I-ci
nceh,nçəh
Axsi,Axsi
xsit,xsit
st-t,st-t
sabe,şabə
anch,anch
nchi,nchi
iavi,iavı
abec,abeç
odis,odis
Etub,Etub
li-E,lı-E
i-El,ı-El
-Elc,-Elç
Nama,Nama
Rusa,Rusa
Humb,Hümb
Bari,Barı
40-a,40-a
IKEA,İKEA
KEA-,KEA-
sovl,şovl
Faki,Faki
sozi,sözi
Naro,Naro
rodn,rodn
odno,odno
dnoy,dnoy
noye,noye
seyx,şeyx
eyxu,eyxü
yxul,yxül
Rema,Rema
maly,maly
qaha,qaha
upes,upes
ehhh,ehhh
:D)),:D))
lbel,lbəl
Cook,Cook
okie,okie
kies,kies
Help,Help
Pare,Pare
ewsl,ewsl
wsle,wsle
lett,lett
erds,erds
rdsi,rdsi
Budr,Büdr
Hond,Hond
Opel,Opel
kirc,kirç
tkal,tkal
"24,4","24,4"
"4,43","4,43"
",438",",438"
145.,145.
45.4,45.4
28.5,28.5
Tipl,Tipl
XKS-,XKS-
KS-n,KS-n
Etba,Etba
tbaa,tbaa
baal,baal
DAI-,DAI-
AI-i,AI-ı
Urie,Urie
ntex,ntəx
exeb,əxəb
xeba,xəba
dicl,dıcl
icli,içli
is-S,ış-S
-Sab,-Şab
ad-S,ad-S
d-Sa,d-Şa
-Saa,-Saa
TBMM,TBMM
onsh,onsh
nshi,nshi
yaqk,yaqk
Sayl,Sayl
aq-T,aq-T
q-Tu,q-Tü
Esat,Esat
Erbi,Erbi
rbil,rbil
Refo,Refo
inii,inii
niin,niin
7-27,7-27
soqi,soqı
oqir,oqır
ti-n,ti-n
i-nu,i-nu
-nur,-nur
9.08,9.08
kulq,külq
IATA,ІATA
ATA-,ATA-
TA-n,TA-n
msom,msom
somo,somo
omol,omol
molu,molu
-ati,-atı
ZLeN,ZLƏN
LeNI,LƏNİ
eNIL,ƏNİL
NILe,NİLƏ
ILeN,İLƏN
NeTI,NƏTİ
eTIC,ƏTİC
TICe,TİCƏ
ICeL,İCƏL
CeLe,CƏLƏ
ayau,ayaü
yaus,yaüs
kurq,kurq
nnag,nnağ
Reti,Reti
sekhs,şəхs
ekhsl,əхsl
khsle,хslə
an-C,an-Ç
n-Ci,n-Çi
ADAU,ADAU
DAU-,DAU-
AU-d,AU-d
Dirs,Dirs
Sekr,Səkr
krek,krək
Arme,Arme
nian,nian
ianR,ianR
anRe,anRe
nRep,nRep
Serk,Sərk
vrud,vrüd
38-i,38-i
fime,fimə
Sudu,Südü
Senk,Senk
Leyp,Leyp
eyps,eyps
ypsi,ypsi
psiq,psiq
Qabd,Qabd
bi-d,bi-d
tetc,tətç
rgei,rgei
sozc,sözç
pal-,pal-
3872,3872
AZN-,AZN-
ZN-d,ZN-d
agdl,ağdl
gdla,ğdla
Maqh,Maqh
aqhe,aqhe
qhel,qhel
elot,elot
Saks,Saks
Nemt,Nemt
emts,emts
mtso,mtso
nimm,nimm
Yelk,Yelk
Agma,Ağma
gzib,ğzıb
Sisp,Şişp
ispi,ispi
spil,şpil
sgoy,şgöy
uyeg,üyəg
yege,yəgə
lyad,lyad
uqi-,uqi-
qi-n,qi-n
Crys,Crys
ryst,ryst
ysta,ysta
Maso,Maso
soki,soki
20.8,20.8
rerg,rərg
nq-s,nq-s
la-d,la-d
-dar,-dar
lur-,lur-
ur-o,ur-o
refa,rəfa
erlu,ərlu
rlus,rluş
lusk,luşk
usko,uşko
Azda,Azda
zdat,zdat
taco,taco
acom,acom
atlr,atlr
lrin,lrın
Sepr,Sepr
pren,pren
lefl,ləfl
ji-E,ji-E
i-Et,i-Et
-Etn,-Etn
tesg,təşg
esga,əşga
sgah,şgah
KORO,KORO
OROG,OROĞ
ROGL,ROĞL
GLUN,ĞLUN
LUNU,LUNU
Bull,Büll
ullo,ullo
llok,llok
18-n,18-n
8-ni,8-ni
4.10,4.10
ilij,ilij
lijk,lijk
ijkl,ijkl
jkle,jklə
ib-o,ıb-o
b-ox,b-ox
lbes,lbəs
-Rak,-Rak
Raks,Raks
lora,lora
1927,1927
927-,927-
Diso,Dişo
215-,215-
qapm,qapm
Kual,Kual
Lump,Lump
umpu,umpu
mpur,mpur
Azan,Azan
Sayr,Sayr
ayru,ayru
yrul,yrul
Izva,İzva
Rali,Ralı
opov,opov
povi,povi
duml,duml
Qram,Qram
ONLA,ONLA
NLAY,NLAY
LAYN,LAYN
MUSA,MÜSA
USAH,ÜSAH
SAHI,SAHİ
AHIB,AHİB
HIBe,HİBƏ
i-ir,i-ir
-ira,-ira
Seyd,Şeyd
bord,bord
15-1,15-1
utid,utid
am-A,am-A
m-Av,m-Av
at-s,at-s
-stu,-stu
1972,1972
72-1,72-1
66-1,66-1
yad-,yad-
ad-z,ad-z
d-za,d-zâ
Tess,Təss
stua,stua
dess,dess
9.13,9.13
taye,taye
Remb,Remb
Gulo,Gülo
ulog,üloğ
.5.6,.5.6
HT-n,HT-n
ssif,şsif
limj,limj
imja,imja
mjan,mjan
-sup,-süp
keep,keep
impl,impl
SHOT,SHOT
BAGL,BAĞL
AGLI,AĞLI
lann,lann
Otag,Otağ
09:4,09:4
9:08,9:08
neyn,neyn
aazi,aazi
oham,oham
Ivri,İvri
kigi,kigi
ilsl,ilşl
lsli,lşli
rmac,rmaç
85.1,85.1
ylek,ylək
lesk,ləsk
arom,arom
natm,natm
k-di,k-di
-did,-did
Fula,Fula
eqav,eqav
tomb,tomb
Hesm,Heşm
Meys,Meys
ysem,ysəm
cokhl,çoхl
okhlu,oхlu
okhud,oхud
khudu,хudu
hatt,hatt
nsac,nsaç
Qatd,Qatd
Pozg,Pozğ
ki-p,ki-p
setp,setp
etpi,etpi
revo,revo
volv,volv
Ters,Tərs
anoi,anoi
noid,noid
Vita,Vita
272-,272-
72-d,72-d
Kand,Kand
Tasa,Tasa
zsek,zsək
Emis,Emis
10:4,10:4
DAGL,DAĞL
GLAR,ĞLAR
LARA,LARA
DAYA,DAYA
AYAQ,AYAQ
YAQD,YAQD
AQDI,AQDI
QDIR,QDIR
CeTI,ÇƏTİ
eTIR,ƏTİR
Favz,Favz
avzi,avzi
vzia,vzia
l-As,l-Aş
-Asm,-Aşm
Asma,Asma
smav,şmav
EYEK,EYEK
YEKS,YEKS
Akor,Akor
Adum,Adum
dumm,dumm
adyu,adyu
dyut,dyut
yelp,yelp
elpi,elpi
lpic,lpic
Biab,Biab
rt-x,rt-x
t-xa,t-xa
-xau,-xau
xaus,xaus
syst,syst
yirc,yirc
qisn,qısn
sqdi,şqdi
msek,mşək
Illi,İlli
0.80,0.80
ddeb,ddəb
90ci,90cı
i-Im,ı-İm
-Imr,-İmr
Az-i,Az-ı
Brig,Brig
gitt,gitt
Font,Font
ntay,ntay
tayn,tayn
West,West
tdeu,tdeu
deut,deut
euts,euts
utsc,utsc
tsch,tsch
Allg,Allg
llge,llge
emei,emei
eine,eine
eitu,eitu
tung,tung
Qilm,Qılm
vals,vals
exrl,əxrl
xrle,xrlə
1939,1939
939-,939-
ildz,ildz
yens,yəns
rki-,rki-
ki-h,ki-h
ekdo,əkdo
kdol,kdol
24.4,24.4
n-Ko,n-Ko
-Kon,-Kon
NTL-,NTL-
TL-M,TL-M
L-Ma,L-Ma
-Max,-Max
Maxx,Maxx
axxi,axxi
xxis,xxis
Vekt,Vekt
ucbu,üçbu
vadd,vadd
agul,agül
4220,4220
2201,2201
3874,3874
8741,8741
2459,2459
4591,4591
to-p,to-p
o-po,o-po
-poz,-poz
paq-,paq-
aq-b,aq-b
q-bi,q-bi
-bit,-bit
olco,olço
lcoj,lçoj
coji,çoji
kroq,kroq
roqi,roqi
oqid,oqid
Trai,Trai
gozt,gözt
zter,ztər
Ginn,Ginn
Muja,Muja
ujam,ujam
l-Bu,l-Bu
-Bul,-Bul
Buld,Buld
Hulu,Hulu
Yuce,Yücə
arau,arau
rauz,rauz
abib,abib
deyP,deyP
eyPa,eyPa
dufl,düfl
-188,-188
2:03,2:03
EA-d,EA-d
1:15,1:15
9:49,9:49
1:26,1:26
fale,falə
ot-n,ot-n
ii-e,ii-e
ema-,əma-
ma-h,ma-h
a-he,a-hə
-hen,-hən
glik,glik
x-ce,x-çə
sex-,şəx-
ex-s,əx-s
x-si,x-si
Okel,Ökəl
77.1,77.1
Gift,Gift
qizq,qızq
izqu,ızqu
zquy,zquy
ta-x,ta-x
a-xi,a-xı
-xiz,-xiz
xiza,xıza
IK-e,İK-ə
b-ce,b-çə
-cek,-çək
lotl,lotl
iaso,iaşo
asou,aşou
mez-,məz-
ez-s,əz-s
z-so,z-sö
yero,yerö
rolc,rölç
ya-h,ya-h
illy,illy
rcig,rcığ
iusu,iusu
fil-,fil-
l-ef,l-əf
-efi,-əfi
vses,vşəs
nats,nats
erun,erun
nquy,nquy
Nari,Narı
Mirn,Mirn
Miza,Miza
Cubi,Çubi
ubin,ubin
i-sv,i-şv
rem-,rəm-
em-C,əm-Ç
m-Cu,m-Çu
-Cub,-Çub
ci-p,çı-p
4104,4104
Teqe,Teqe
Pars,Pars
Petc,Petç
etco,etço
tcol,tçol
Simu,Simü
murq,mürq
gerq,gərq
14.5,14.5
ebeg,əbəg
begi,bəgi
curt,çürt
Cloo,Cloo
loon,loon
oone,oone
Omeg,Omeg
9-11,9-11
Necu,Nəçü
ecun,əçün
plav,plav
lavd,lavd
dosr,döşr
osru,öşru
Pant,Pant
ruci,ruci
leyf,leyf
1124,1124
eseg,eşəg
sege,səgə
akey,akəy
afas,afas
faqa,faqa
rinj,rinj
inji,inji
rk-I,rk-İ
k-Is,k-İs
that,that
hatp,hatp
atpa,atpa
tpas,tpaş
Ongo,Öngö
ngor,ngör
0-du,0-du
0:19,0:19
1280,1280
ikve,ikve
Qesi,Qəsi
bulo,bülo
sepg,səpg
epgi,əpgi
pgil,pgil
ABAD,ABAD
durq,durq
rquz,rquz
Linz,Linz
inze,inze
onie,onie
l-de,l-də
Saas,Şaaş
aasq,aaşq
sqaz,şqaz
qerl,qərl
ne-Y,ne-Y
e-Ya,e-Ya
Yaaq,Yaaq
Xor-,Xor-
or-H,or-H
qidq,qidq
idqa,idqa
dqad,dqad
qadd,qadd
Riss,Riss
20.3,20.3
Venc,Venç
Luts,Luts
utse,ütsə
senk,şenk
nkoy,nkoy
koya,koya
Menu,Mənu
Yers,Yers
COGR,COĞR
OGRA,OĞRA
GRAF,ĞRAF
RIXI,RİXİ
GUNe,GÜNƏ
UNeS,ÜNƏŞ
SIST,SİST
ISTE,İSTE
STEM,STEM
TEMI,TEMİ
LITO,LİTO
ITOS,İTOS
TOSF,TOSF
OSFE,OSFE
SFER,SFER
ATMO,ATMO
TMOS,TMOS
MOSF,MOSF
HIDR,HIDR
IDRO,İDRO
DROS,DROS
ROSF,ROSF
BIOS,BİOS
IOSF,İOSF
CeDV,CƏDV
eDVe,ƏDVƏ
DVeL,DVƏL
VeLL,VƏLL
eLLe,ƏLLƏ
AVRA,AVRA
VRAS,VRAS
AVRO,AVRO
VROP,VROP
ROPA,ROPA
AFRI,AFRİ
FRIK,FRİK
RIKA,RİKA
IMAL,İMAL
AMER,AMER
MERI,MERİ
ERIK,ERİK
CeNU,CƏNU
eNUB,ƏNUB
NUBI,NUBİ
AVST,AVST
VSTR,VSTR
TRAL,TRAL
LIYA,LİYA
ANTA,ANTA
NTAR,NTAR
TARK,TARK
ARKT,ARKT
RKTI,RKTİ
KTID,KTİD
Rely,Rely
Buni,Buni
28-0,28-0
600.,600.
"45,4","45,4"
"5,40","5,40"
grik,ğrık
Pera,Pera
seta,seta
mahu,mahu
ahud,ahud
kror,kror
lilm,lilm
slix,slıx
guds,güds
dsun,dşün
Zelz,Zəlz
dekr,dekr
16-n,16-n
Sakl,Sakl
sdad,şdad
talj,talj
alji,alji
ir10,ir10
CAGI,ÇAĞI
AGIR,AĞIR
un-y,ün-y
1231,1231
2310,2310
Alwa,Alwa
lway,lway
pric,pric
Tibe,Tibe
sone,sönə
ltuq,ltuq
tuql,tuql
8:05,8:05
Apan,Apan
Banc,Banç
liev,liev
ievl,ievl
Elaz,Elaz
Batm,Batm
azia,azia
ntep,ntep
Gevz,Gevz
evze,evze
avig,avig
vigo,vigö
Ocag,Ocağ
Iyio,İyio
yiol,yiol
iold,iold
Beki,Bəki
KOCA,KOCA
OCAV,OCAV
Morr,Morr
Tvin,Tvin
vinn,vinn
inni,inni
Eose,Eose
Coxd,Çoxd
raid,raid
akva,akva
kva-,kva-
va-z,va-z
a-zo,a-zo
-zon,-zon
savn,şavn
avne,avne
vney,vney
neya,neya
Xatt,Xatt
attu,attu
ttus,ttuş
ylaq,ylaq
Ozba,Özba
ebsl,əbsl
bsle,bslə
900-,900-
biqt,bıqt
qtem,qtəm
Idea,İdea
Kant,Kant
Sill,Sill
Fixt,Fixt
ixte,ixte
xten,xten
ydeg,ydeg
degg,degg
egge,egge
45.2,45.2
9-22,9-22
97-9,97-9
7-98,7-98
-98-,-98-
doql,doql
Huzn,Hüzn
AKDS,AKDS
Trim,Trim
otit,otit
Past,Past
steu,steu
teur,teur
rieu,rieu
ieux,ieux
tinn,tinn
NEAT,NEAT
fisd,fisd
useb,üşəb
cluk,çlük
stoq,stoq
toqu,toqu
oque,oque
eleo,eleo
eope,eope
eqio,eqio
qion,qion
Tour,Tour
d'Az,d’Az
'Aze,’Aze
aidj,aïdj
idja,idja
jan-,jan-
an-2,an-2
ele_,ele_
le_s,le_s
e_su,e_su
zizd,zizd
xlig,xlığ
3180,3180
Er-s,Er-ş
-seq,-şeq
86-1,86-1
TNS-,TNS-
NS-l,NS-l
XDMX,XDMX
DMX-,DMX-
MX-n,MX-n
ayem,ayəm
yemd,yəmd
AIS-,AİS-
IS-M,İS-M
S-MR,S-MR
-MRL,-MRL
udsd,üdsd
dsde,dsdə
enob,ənöb
nobs,nöbş
obse,öbşə
bsel,bşəl
Boks,Boks
-Ima,-İma
mamq,mamq
amqu,amqu
mqul,mqul
Qerv,Qərv
nd-X,nd-X
d-Xi,d-Xı
-Xin,-Xın
xofu,xofu
caxd,çaxd
Oxla,Oxla
ekrt,ekrt
krti,krti
Alni,Alnı
21.5,21.5
bsla,bşla
digl,dığl
qoqd,qoqd
n-si,n-si
qoqa,qoqa
rrec,rrəc
Ceni,Ceni
niib,nııb
iibi,ııbi
hist,hist
eyko,eyko
ykoz,ykoz
kotr,kotr
trie,trie
itok,itok
toki,toki
cals,cals
fuze,füzə
e-is,ə-is
e-ce,ə-çə
e-id,e-id
Muft,Müft
67.4,67.4
Cagl,Çağl
ureg,ürəg
egim,əgim
Siqq,Şiqq
qayo,qayo
dzed,dzed
GMAT,GMAT
Ilax,İlax
xols,xols
lset,lset
Eney,Eney
el-p,əl-p
lqel,lqəl
rtub,rtüb
dedm,dedm
dmiy,dmiy
5253,5253
iaze,iazə
vik-,vik-
enfu,ənfu
nfur,nfur
VI-I,VI-I
I-IV,I-IV
izeg,izəg
zege,zəgə
egez,əgəz
Vaza,Vaza
zase,zaşe
Babu,Babu
0.09,0.09
Utta,Utta
Lakh,Lakh
akhn,akhn
khna,khna
hnau,hnau
1528,1528
528-,528-
Ayod,Ayod
yodh,yodh
odhy,odhy
dhya,dhya
Babr,Babr
15.6,15.6
Arce,Arçe
iapo,iapo
apoo,apoo
pool,pool
Jeys,Jeys
eyso,eyso
yson,yson
Deru,Deru
rulo,rulo
ss-k,ss-k
den3,dən3
en39,ən39
benc,benç
encm,ençm
cmar,çmar
dir4,dir4
ir40,ir40
topc,topç
olku,olku
nomy,nomy
omyo,omyo
ziyo,ziyo
iyon,iyon
torc,torç
ibb-,ibb-
bb-s,bb-s
tkad,tkad
CART,ÇART
ARTE,ARTE
RTER,RTER
REYS,REYS
EYSI,EYSİ
Xura,Xura
Bill,Bill
illb,illb
llbo,llbo
lboa,lboa
boar,boar
oard,oard
goyg,göyg
yguz,ygüz
Lupe,Lupe
caqB,caqB
aqBa,aqBa
qBak,qBak
xete,xətə
BTP-,BTP-
TP-d,TP-d
uyou,uyöu
youn,yöun
ound,ound
6039,6039
3593,3593
5930,5930
lisn,lışn
isnu,ışnu
snur,şnur
ciqe,cıqə
he-s,hə-s
e-sm,ə-sm
-sme,-sme
Xusm,Xuşm
Gulz,Gülz
Faxl,Faxl
axlu,axlu
xlul,xlul
lulo,lulo
Fayz,Fayz
ayzu,ayzu
zulo,zulo
malo,malo
lsar,lsar
ludo,lüdo
2618,2618
6184,6184
istd,istd
ltiq,ltıq
aqoy,aqoy
bigg,bigg
iggr,iggr
ggri,ggri
mmaq,mmaq
.8.6,.8.6
.8.5,.8.5
uro1,uro1
7700,7700
frau,frau
raun,raun
aunh,aunh
unho,unho
nhof,nhof
hofe,hofe
00-8,00-8
-800,-800
Tesa,Təsa
sn-n,sn-n
n-ni,n-ni
l-ce,l-cə
-cev,-cəv
Qumr,Qumr
durn,durn
Ucub,Uçub
Qehv,Qəhv
xmil,xmil
Hank,Hank
emta,əmta
uvam,uvam
obam,obam
atcd,atçd
tcda,tçda
y-br,y-br
-bre,-bre
brey,brey
reyk,reyk
Getd,Getd
Kusu,Kuşu
Nemr,Nəmr
lonc,lonç
iqex,iqəx
qexa,qəxa
1869,1869
869-,869-
ovos,ovos
vose,vose
lski,lski
Buru,Buru
Dion,Dion
nios,nios
gelo,gəlö
lopu,lopu
ulos,ulos
7:24,7:24
:24.,:24.
4.30,4.30
6.26,6.26
.26.,.26.
26.3,26.3
zahe,zahe
26.4,26.4
dibM,dibM
ibMa,ibMa
aq-z,aq-z
q-zo,q-zo
-zol,-zol
7025,7025
025:,025:
25:2,25:2
5:20,5:20
degu,dəgü
et-D,ət-D
t-Di,t-Di
-Din,-Din
-bey,-bey
Pami,Pami
limg,limg
ordb,ördb
rdbu,rdbu
dbuc,dbuc
Sinm,Sınm
ofke,öfkə
ehrs,ehrs
hrsi,hrsi
lqa-,lqa-
qa-r,qa-r
xulm,xulm
ciey,ciəy
NarM,NarM
arMo,arMo
rMob,rMob
2021,2021
021-,021-
utlm,utlm
tlmu,tlmu
Aldi,Aldı
Sui-,Sui-
Nevr,Nevr
naqa,naqa
98.2,98.2
50mg,50mg
HP-c,HP-ç
P-ci,P-çı
YOLd,YOLd
OLda,OLda
Ldan,Ldan
Mekk,Məkk
Svop,Svop
Cenz,Cənz
Gazn,Gazn
azna,azna
znak,znak
mirv,mirv
3197,3197
Asxa,Aşxa
sxad,sxad
davo,davo
Susu,Susu
Qovd,Qovd
ano-,ano-
no-S,no-S
o-So,o-So
-Son,-Son
naro,naro
bicd,biçd
lefe,ləfə
krom,krom
Pizz,Pizz
saas,şaas
piqr,piqr
yn-M,yn-M
n-Mi,n-Mi
-Min,-Min
Mink,Mink
anao,anao
naox,naox
aoxs,aoxş
asme,aşme
iq-k,ıq-k
-kol,-köl
xlen,xlən
lcub,lçüb
Zayt,Zayt
ayts,ayts
ytse,ytse
ri-C,ri-Ç
i-Ci,i-Çı
-Cir,-Çır
q-Gu,q-Gü
-Gun,-Gün
eys-,eyş-
ys-i,yş-i
s-is,ş-iş
-isr,-işr
isre,işrə
oga-,oğa-
ga-b,ğa-b
a-bo,a-bo
-bog,-boğ
UNO-,UNO-
NO-n,NO-n
Oxpe,Oxpe
xpec,xpec
peck,peck
ecke,əckə
gezs,gəzs
tary,tary
aryu,aryu
ryuy,ryuy
Raxa,Raxa
axav,axav
ITC-,İTC-
TC-n,TC-n
Mosu,Mosu
rkuk,rkük
47.4,47.4
3.15,3.15
bozd,bozd
Sput,Sput
putn,putn
utni,utni
vost,vost
DAML,DAML
AMLA,AMLA
MLAS,MLAS
LASI,LASI
HeYA,HƏYA
eYAT,ƏYAT
klim,klim
ye-R,yə-R
e-Ru,ə-Ru
TASS,TASS
ASS-,ASS-
SS-a,SS-a
Feys,Feys
-Seu,-Səu
euda,əuda
1592,1592
1057,1057
imib,imib
duyl,duyl
hamb,hamb
TO-u,TO-ü
O-uz,O-üz
Mard,Mard
ardj,ardj
rdje,rdje
djer,djer
Dous,Dous
ouso,ouso
uson,uşon
Ento,Ento
xi-q,xi-q
Imna,İmna
Qore,Qore
4.6.,4.6.
naz-,naz-
az-n,az-n
z-na,z-na
az-q,az-q
z-qa,z-qa
osba,oşba
sbax,şbax
baxt,baxt
"40,0","40,0"
Carh,Carh
arha,arha
eybu,eybu
ybug,ybuğ
Qizm,Qızm
Caba,Caba
kenc,kənc
aqiy,aqiy
zmem,zməm
Hemy,Həmy
myel,myəl
Merz,Mərz
Avax,Avax
negd,nəğd
eyfl,eyfl
yfle,yflə
EKS-,EKS-
KS-i,KS-i
1139,1139
139-,139-
